form	median_ratio	ci_lo	ci_hi	wilcoxon_p
q4_0_o512_n1	1.0195	1.0000	1.0347	0.1250
q4_0_o512_n2	1.0000	0.9954	1.0047	1.0000
q4_0_o512_n3	1.0024	0.9935	1.0084	0.5625
q4_0_o512_n4	1.0022	0.9968	1.0104	0.3125
q4_0_o512_n5	1.0040	1.0005	1.0085	0.0625
q4_0_o512_n6	1.0000	0.9960	1.0058	1.0000
q4_0_o512_n7	2.4028	2.3882	2.4137	0.0312
q4_0_o512_n8	2.0763	2.0685	2.0809	0.0312
q4_0_o1024_n1	1.0011	1.0000	1.0039	0.0938
q4_0_o1024_n2	1.0036	1.0000	1.0071	0.0938
q4_0_o1024_n3	1.0004	0.9933	1.0038	1.0000
q4_0_o1024_n4	1.0031	0.9973	1.0120	0.2188
q4_0_o1024_n5	1.0052	0.9959	1.0120	0.2188
q4_0_o1024_n6	1.0069	0.9898	1.0182	0.4375
q4_0_o1024_n7	1.4879	1.4439	1.5136	0.0312
q4_0_o1024_n8	1.4818	1.4672	1.4920	0.0312
q4_0_o2048_n1	0.9981	0.9962	1.0000	0.1562
q4_0_o2048_n2	0.9815	0.9781	0.9980	0.0625
q4_0_o2048_n3	1.1185	1.1146	1.1390	0.0312
q4_0_o2048_n4	0.9161	0.8989	1.0019	0.0938
q4_0_o2048_n5	0.9933	0.9841	1.0033	0.1562
q4_0_o2048_n6	0.9995	0.9959	1.0153	0.8125
q4_0_o2048_n7	1.4197	1.4137	1.4330	0.0312
q4_0_o2048_n8	1.2433	1.2370	1.2493	0.0312
q4_0_o4096_n1	0.9962	0.9776	1.0088	0.3125
q4_0_o4096_n2	0.9933	0.9897	0.9982	0.0312
q4_0_o4096_n3	0.9945	0.9928	1.0095	0.8438
q4_0_o4096_n4	1.0395	0.9946	1.0999	0.4375
q4_0_o4096_n5	1.0054	0.9825	1.0124	0.6875
q4_0_o4096_n6	1.0029	0.9984	1.0062	0.2188
q4_0_o4096_n7	1.1123	1.1076	1.1172	0.0312
q4_0_o4096_n8	0.9702	0.9628	0.9737	0.0312
q4_0_o8192_n1	1.0118	0.9824	1.0238	0.4375
q4_0_o8192_n2	1.0064	0.9815	1.0285	0.6875
q4_0_o8192_n3	0.9861	0.9640	1.0318	0.8438
q4_0_o8192_n4	0.9911	0.9677	1.0091	0.3125
q4_0_o8192_n5	0.9965	0.9792	1.0813	1.0000
q4_0_o8192_n6	1.0065	0.9712	1.0256	0.8438
q4_0_o8192_n7	1.1050	1.1026	1.1393	0.0312
q4_0_o8192_n8	0.9785	0.9601	0.9903	0.0312
q4_0_o17408_n1	0.9863	0.9482	1.0123	0.1562
q4_0_o17408_n2	0.9971	0.9694	1.0143	0.3125
q4_0_o17408_n3	0.9992	0.9932	1.0001	0.1562
q4_0_o17408_n4	0.9976	0.9931	1.0023	0.3125
q4_0_o17408_n5	0.9958	0.9815	1.0296	1.0000
q4_0_o17408_n6	1.0002	0.9968	1.0041	0.8438
q4_0_o17408_n7	0.9944	0.9764	1.0173	0.5625
q4_0_o17408_n8	0.8956	0.8822	0.9093	0.0312
q8_0_o512_n1	0.9949	0.9898	1.0051	0.3125
q8_0_o512_n2	0.9995	0.9857	1.0175	1.0000
q8_0_o512_n3	0.9991	0.9948	1.0061	1.0000
q8_0_o512_n4	1.0009	0.9982	1.0031	0.4375
q8_0_o512_n5	2.3881	2.3640	2.4000	0.0312
q8_0_o512_n6	2.2377	2.2243	2.2469	0.0312
q8_0_o512_n7	2.0320	2.0128	2.0696	0.0312
q8_0_o512_n8	1.7607	1.7445	1.7793	0.0312
q8_0_o1024_n1	0.9833	0.9794	0.9926	0.0312
q8_0_o1024_n2	0.9779	0.9621	1.0035	0.0938
q8_0_o1024_n3	0.9693	0.9533	0.9935	0.0625
q8_0_o1024_n4	0.9655	0.9427	0.9763	0.0312
q8_0_o1024_n5	1.6871	1.6686	1.6963	0.0312
q8_0_o1024_n6	1.4975	1.4919	1.5036	0.0312
q8_0_o1024_n7	1.3451	1.3381	1.3510	0.0312
q8_0_o1024_n8	1.1892	1.1519	1.2592	0.0312
q8_0_o2048_n1	0.9658	0.9331	0.9939	0.0625
q8_0_o2048_n2	0.9828	0.9798	0.9876	0.0312
q8_0_o2048_n3	0.9789	0.9696	0.9879	0.0312
q8_0_o2048_n4	0.9792	0.9712	1.0764	1.0000
q8_0_o2048_n5	1.3027	1.2164	1.3597	0.0312
q8_0_o2048_n6	1.1335	1.1300	1.1435	0.0312
q8_0_o2048_n7	1.0011	0.9940	1.0078	0.4375
q8_0_o2048_n8	0.8890	0.8875	0.8906	0.0312
q8_0_o4096_n1	0.9656	0.8613	1.0928	0.6875
q8_0_o4096_n2	1.0080	0.9494	1.0583	0.8438
q8_0_o4096_n3	1.0089	0.9251	1.0669	0.8438
q8_0_o4096_n4	0.9978	0.9547	1.0481	1.0000
q8_0_o4096_n5	1.1110	1.0729	1.1334	0.0312
q8_0_o4096_n6	0.9658	0.9155	1.0028	0.1562
q8_0_o4096_n7	0.8453	0.8150	0.8658	0.0312
q8_0_o4096_n8	0.7510	0.7316	0.7852	0.0312
q8_0_o8192_n1	1.0114	0.9869	1.0191	0.4375
q8_0_o8192_n2	1.0200	1.0037	1.0430	0.0312
q8_0_o8192_n3	0.9964	0.9755	1.0649	0.8438
q8_0_o8192_n4	1.0013	0.9880	1.0265	0.6875
q8_0_o8192_n5	1.0183	0.9952	1.0379	0.0938
q8_0_o8192_n6	1.0025	0.9876	1.0170	0.5625
q8_0_o8192_n7	1.0107	0.9818	1.0409	0.4375
q8_0_o8192_n8	0.9683	0.9589	0.9770	0.0312
q8_0_o17408_n1	0.9977	0.9900	1.0043	0.5625
q8_0_o17408_n2	1.0016	0.9970	1.0091	0.3125
q8_0_o17408_n3	1.0129	0.9809	1.0204	0.6875
q8_0_o17408_n4	1.0011	0.9925	1.0101	0.5625
q8_0_o17408_n5	1.0567	1.0459	1.0626	0.0312
q8_0_o17408_n6	1.0525	1.0459	1.0592	0.0312
q8_0_o17408_n7	1.0409	1.0263	1.0489	0.0312
q8_0_o17408_n8	1.0263	1.0197	1.0357	0.0312
q2_K_o512_n1	1.0047	0.9947	1.0118	0.3125
q2_K_o512_n2	0.9990	0.9971	1.0062	0.8125
q2_K_o512_n3	1.0008	0.9996	1.0020	0.1250
q2_K_o512_n4	1.0000	0.9965	1.0070	0.6875
q2_K_o512_n5	5.1141	5.0647	5.1672	0.0312
q2_K_o512_n6	4.4483	4.4264	4.4947	0.0312
q2_K_o512_n7	3.8796	3.8201	3.9102	0.0312
q2_K_o512_n8	3.4187	3.4048	3.4338	0.0312
q2_K_o1024_n1	1.0005	0.9888	1.0018	0.8125
q2_K_o1024_n2	0.9945	0.9885	0.9959	0.0312
q2_K_o1024_n3	0.9628	0.9537	0.9890	0.0625
q2_K_o1024_n4	0.9960	0.9610	1.0426	0.8438
q2_K_o1024_n5	3.0113	2.9604	3.0573	0.0312
q2_K_o1024_n6	2.6134	2.5546	2.6589	0.0312
q2_K_o1024_n7	2.3935	2.3562	2.4292	0.0312
q2_K_o1024_n8	2.1211	2.1021	2.1363	0.0312
q2_K_o2048_n1	0.9378	0.8835	0.9891	0.0312
q2_K_o2048_n2	0.9780	0.9347	1.0024	0.0938
q2_K_o2048_n3	0.9845	0.9679	0.9936	0.0312
q2_K_o2048_n4	1.0170	0.9892	1.0462	0.4375
q2_K_o2048_n5	2.0758	2.0176	2.0880	0.0312
q2_K_o2048_n6	1.8488	1.7584	1.8582	0.0312
q2_K_o2048_n7	1.6746	1.6320	1.7137	0.0312
q2_K_o2048_n8	1.4171	1.4117	1.4214	0.0312
q2_K_o4096_n1	0.9070	0.8871	0.9441	0.0312
q2_K_o4096_n2	0.9873	0.9647	1.0337	0.5625
q2_K_o4096_n3	0.9854	0.9823	0.9946	0.0312
q2_K_o4096_n4	0.9864	0.9767	1.0168	0.4375
q2_K_o4096_n5	1.4522	1.4384	1.4949	0.0312
q2_K_o4096_n6	1.3004	1.2905	1.3272	0.0312
q2_K_o4096_n7	1.1458	1.1423	1.1470	0.0312
q2_K_o4096_n8	1.0286	1.0238	1.0330	0.0312
q2_K_o8192_n1	0.9641	0.9344	1.0202	0.2188
q2_K_o8192_n2	1.0064	0.9812	1.0291	0.6875
q2_K_o8192_n3	1.0163	0.9936	1.0417	0.2188
q2_K_o8192_n4	0.9846	0.9749	1.0038	0.1562
q2_K_o8192_n5	1.5083	1.4874	1.5168	0.0312
q2_K_o8192_n6	1.2746	1.2621	1.2844	0.0312
q2_K_o8192_n7	1.0876	1.0853	1.1141	0.0312
q2_K_o8192_n8	0.9720	0.9718	0.9785	0.0312
q2_K_o17408_n1	1.0031	0.9717	1.0151	0.4375
q2_K_o17408_n2	1.0006	0.9702	1.0521	0.8438
q2_K_o17408_n3	1.0075	0.9716	1.0213	0.8438
q2_K_o17408_n4	0.9800	0.9601	1.0206	0.4375
q2_K_o17408_n5	1.4971	1.4537	1.5156	0.0312
q2_K_o17408_n6	1.2373	1.2131	1.2548	0.0312
q2_K_o17408_n7	1.0456	1.0045	1.0691	0.0312
q2_K_o17408_n8	0.9426	0.9122	0.9628	0.0312
q3_K_o512_n1	1.0005	0.9954	1.0111	0.6875
q3_K_o512_n2	0.9996	0.9949	1.0026	0.8125
q3_K_o512_n3	0.9936	0.9829	1.0064	0.3125
q3_K_o512_n4	5.6598	5.6301	5.7435	0.0312
q3_K_o512_n5	4.8897	4.8050	5.0720	0.0312
q3_K_o512_n6	4.4453	4.3603	4.5469	0.0312
q3_K_o512_n7	3.9667	3.9345	4.0537	0.0312
q3_K_o512_n8	3.5784	3.5187	3.6479	0.0312
q3_K_o1024_n1	0.9892	0.9664	0.9982	0.0625
q3_K_o1024_n2	0.9648	0.9558	0.9798	0.0312
q3_K_o1024_n3	0.9703	0.9586	0.9889	0.0625
q3_K_o1024_n4	3.2015	3.1287	3.2733	0.0312
